note_id,#diary_id,#author_id,#note_date,#people
"181391",#"859",#"849",#"1827-06-20",#"брюс->1,чичагов->1"
"181392",#"859",#"849",#"1827-06-21",#"свечина->1"
"181393",#"859",#"849",#"1827-06-22",#"монтебелло->1"
"181394",#"859",#"849",#"1827-06-23",#"мериановый->1,шувалов->1"
"181395",#"859",#"849",#"1827-06-24",#"кореф->1,дамасу->1,бобринская->1,милая->1"
"181396",#"859",#"849",#"1827-06-25",#"тютчев->2,жераров->1,чичагов->1"
"181397",#"859",#"849",#"1827-06-26",#"волхонская->1,перов->1,свечина->1"
"181398",#"859",#"849",#"1827-06-27",#"вилер->1,тургенев->1"
"181399",#"859",#"849",#"1827-06-28",#"монтебелло->1,свечина->1,моден->1"
"181400",#"859",#"849",#"1827-06-29",#"фенелона->1"
"181401",#"859",#"849",#"1827-06-30",#"луи->1"
"181402",#"859",#"849",#"1827-07-01",#"карл великий->2,иоанн креститель->1,мария->2,стуарт->1,петра->1,рубенс->1,мария медицис->1"
"181403",#"859",#"849",#"1827-07-03",#"саша->1"
"181404",#"859",#"849",#"1827-07-04",#
"181405",#"859",#"849",#"1827-07-05",#"голицына->1,дальберг->1,радзивилл->1"
"181406",#"859",#"849",#"1827-07-06",#"волхонская->1,самойлова->1,николай->1"
"181407",#"859",#"849",#"1827-07-07",#
"181408",#"859",#"849",#"1827-07-10",#"голицына->1"
"181409",#"859",#"849",#"1827-07-11",#"самойлова->1,волхонская->1,алина->1"
"181410",#"859",#"849",#"1827-07-15",#"штейн->1,голицына->1,голицын->1"
"181411",#"859",#"849",#"1827-07-16",#"тургенев->59,митьков->1,миклашевский->1,толстой->1,рылеев->7,бестужев->1,пестелящий->1,блудов->1,вильсон->1,штейн->5,александр->1,карамзин->2,орлов->1,никита муравьев->2,муравьев->3"
"181412",#"859",#"849",#"1827-08-08",#
"181413",#"859",#"849",#"1827-08-09",#"браубах->1,голицына->1"
"181414",#"859",#"849",#"1827-08-10",#
"181415",#"859",#"849",#"1827-08-11",#"волхонская->1,голицын->1"
"181416",#"859",#"849",#"1827-08-12",#"волхонская->3,голицын->1"
"181417",#"859",#"849",#"1827-08-13",#"волхонская->1,панин->1,алина->1,граф->1,головнин->1,голицына->1"
"181418",#"859",#"849",#"1827-08-14",#"каннинга->1,алина->1,голицына->1,волхонская->1,эглофштейн->1,штейн->1"
"181419",#"859",#"849",#"1827-08-15",#"голицына->1,волхонская->1"
"181420",#"859",#"849",#"1827-08-16",#"алине->1,волхонский->1"
"181421",#"859",#"849",#"1827-08-17",#
"181422",#"859",#"849",#"1827-08-18",#"волхонская->1"
"181423",#"859",#"849",#"1827-08-19",#"сальме->1,волхонский->1,алин->1"
"181424",#"859",#"849",#"1827-08-20",#"волхонский->1"
"181425",#"859",#"849",#"1827-08-21",#"волхонская->1"
"181426",#"859",#"849",#"1827-08-22",#"волхонская->1,эглофштейн->1"
"181427",#"859",#"849",#"1827-08-23",#"волхонский->1"
"181428",#"859",#"849",#"1827-08-24",#"штейн->1,лопухин->1"
"181429",#"859",#"849",#"1827-08-25",#"штейн->1,волхонская->1,алина->1"
"181430",#"859",#"849",#"1827-08-26",#"волхонская->1,алина->1,клара->1,волхонский->1"
"181431",#"859",#"849",#"1827-08-27",#"волхонский->2"
"181432",#"859",#"849",#"1827-08-16",#"фридрих->1,волхонский->1,штейн->1"
"181433",#"859",#"849",#"1827-08-17",#
"181434",#"859",#"849",#"1827-08-18",#"гуттенберг->1,волхонский->1"
"181435",#"859",#"849",#"1827-08-19",#"клара->1,голицын->1,гувший->1,гельнгаузен->1"
"181436",#"859",#"849",#"1827-08-20",#"гюнфельд->1"
"181437",#"859",#"849",#"1827-08-21",#"гюнфельд->1,эйзен->1,графиня->1,эглофштейн->1,вартбург->1,лютеров->1"
"181438",#"859",#"849",#"1827-08-22",#"глейхен->1,лютеров->1,гримм->1"
"181439",#"859",#"849",#"1827-08-23",#"юнона->1,барон->1,швейцер->1,вольфганг->1"
"181440",#"859",#"849",#"1827-08-24",#"эглофштейн->1,вальтер->1,миллер->1,швейцер->1,юлия эглофштейн->1"
"181441",#"859",#"849",#"1827-08-25",#"шиллер->2,якоби->1,юлия эглофштейн->1,елена->1,бейрон->1,гувший->1,шекспир->1,эглофштейн->1"
"181442",#"859",#"849",#"1827-08-26",#
"181443",#"859",#"849",#"1827-08-27",#
"181444",#"859",#"849",#"1827-08-28",#"вольф->1,демутом->1"
"181445",#"859",#"849",#"1827-08-29",#"пушкина->1,ольга->1,орфано->1"
"181446",#"859",#"849",#"1827-08-30",#"виттенберг->1"
"181447",#"859",#"849",#"1827-08-31",#"адлерберг->1,вильгельм->1,карл->1,альбрехт->1,мансуров->1,гуфланда->1,вагнер->1"
"181448",#"859",#"849",#"1827-09-01",#"брюля->2,мансуров->1,ргес->1,гейнротов->1"
"181449",#"859",#"849",#"1827-09-02",#"вильгельм->1"
"181450",#"859",#"849",#"1827-09-03",#"штейн->1,полина->1,гуфланда->1"
"181451",#"859",#"849",#"1827-09-04",#"щербатов->1,шекспир->1"
"181452",#"859",#"849",#"1827-09-05",#"гребена->1,гуфланда->1,карусов->1"
"181453",#"859",#"849",#"1827-09-06",#"буш->1"
"181454",#"859",#"849",#"1827-09-07",#"иоанн->1,санти->1,отелло->2"
"181455",#"859",#"849",#"1827-09-08",#
"181456",#"859",#"849",#"1827-09-09",#"брюля->1"
"181457",#"859",#"849",#"1827-09-10",#"гуфланда->1"
"181458",#"859",#"849",#"1827-09-11",#
"181459",#"859",#"849",#"1827-09-12",#
"181460",#"859",#"849",#"1827-09-13",#"яблоков->1,саша->1,фридрихов->1"
"181461",#"859",#"849",#"1827-09-14",#"саша->2,карл->1,брюля->1,калмейн->1"
"181462",#"859",#"849",#"1827-09-15",#"солли->1,гумбольдт->1"
"181463",#"859",#"849",#"1827-09-16",#"саша->3,гуфланда->1"
"181464",#"859",#"849",#"1827-09-17",#"гумбольдт->1,карл мекленбургский->1,карл->1,дон->1,анна->1,гуфланда->1,саша->1"
"181465",#"859",#"849",#"1827-09-18",#"саша->2,строганов->1,николай тургенев->1"
"181466",#"859",#"849",#"1827-09-19",#"гуфланда->1,гумбольдт->1,саша->1"
"181467",#"859",#"849",#"1827-09-20",#"крюгер->1,саша->2,гумбольдт->1,меркурий->1,торвальдсённая->1,орест->1"
"181468",#"859",#"849",#"1827-09-21",#"крюгер->2,картина->1,гаусберг->1"
"181469",#"859",#"849",#"1827-09-22",#"гуфланда->1"
"181470",#"859",#"849",#"1827-09-23",#
"181471",#"859",#"849",#"1827-09-24",#"витгенштейн->1,гумбольдт->1,гребена->1,гуфланда->1"
"181472",#"859",#"849",#"1827-09-25",#"строганов->1"
"181473",#"859",#"849",#"1827-09-26",#"александрина->1,шекспир->1,карл->1,данкельман->1,вильгельм->1"
"181474",#"859",#"849",#"1827-09-27",#
"181475",#"859",#"849",#"1827-10-01",#
"181476",#"859",#"849",#"1827-10-02",#
"181477",#"859",#"849",#"1827-10-06",#
"181478",#"859",#"849",#"1827-10-08",#"тютчев->1"
"181479",#"859",#"849",#"1827-10-09",#"зверев->1"
"181480",#"859",#"849",#"1827-11-13",#"дашков->1,колумб->1,авраам->1,моисей->1"
"181481",#"859",#"849",#"1828-03-07",#"иисус христос->1,иоанн грозный->1,пётр великий->1"
"181482",#"859",#"849",#"1828-10-14",#
"181483",#"859",#"849",#"1829-04-30",#
"181484",#"859",#"849",#"1829-05-07",#"владислав->1,константин->1"
"181485",#"859",#"849",#"1829-05-08",#"константин павлович->1,рихтер->1,левицкий->1,кривцов->1,адлерберг->1,бюцов->1"
"181486",#"859",#"849",#"1829-05-09",#"бибиков->1,вилланов->1,себастьян->1,дик->1,винчи->1,казанов->1"
"181487",#"859",#"849",#"1829-05-10",#"козмян->1,мария феодоровня->1,волхонский->1,скорина библия->1,адлерберг->1"
"181488",#"859",#"849",#"1829-05-11",#"бюцов->1"
"181489",#"859",#"849",#"1829-05-12",#"татищев->1,козмян->1,адлерберг->1,орлов->1"
